Raman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
516.49199,0.08199,0.08816,0.23658,0.06015,0.06689,0.07692,0.0741,0.07735,0.07397,0.08867,0.08093,0.08746,0.07007,0.07808,0.09551,0.08199,0.08198,0.08794,0.0741,0.09059,0.20104,0.06487,0.07836,0.11926,0.0705,0.06988,0.15744,0.08878,0.14222,0.23538,0.11926,0.0705,0.33644,0.14946,0.1469,0.15693,0.0741,0.07735,0.07397,0.33129,0.32837,0.34476,0.14946,0.14679,0.15438,0.15364,0.15977,0.16372,0.14735,0.15588,0.16623,0.33129,0.31206,0.70732,0.33129,0.32697,0.31879,0.15142,0.15614,0.15766
522.20014,0.10802,0.11753,0.25854,0.07059,0.07727,0.08067,0.09342,0.0962,0.0972,0.07764,0.07203,0.0833,0.09272,0.1042,0.10533,0.10802,0.11206,0.11735,0.09342,0.11028,0.21875,0.0754,0.08851,0.10596,0.08721,0.08645,0.15344,0.07774,0.14789,0.23327,0.10596,0.08721,0.37481,0.18237,0.17283,0.18361,0.09342,0.0962,0.0972,0.37651,0.37651,0.38302,0.18237,0.18503,0.18348,0.18639,0.18913,0.19616,0.18034,0.18678,0.19771,0.37651,0.36455,0.73457,0.37651,0.37286,0.64391,0.18425,0.18698,0.20754
527.90454,0.08648,0.08792,0.23659,0.08187,0.08849,0.10811,0.09894,0.09815,0.10033,0.10267,0.09407,0.09996,0.08698,0.1012,0.10681,0.08648,0.08523,0.10265,0.09894,0.13391,0.26389,0.08256,0.09541,0.11242,0.0784,0.07771,0.11361,0.1028,0.15559,0.28196,0.11242,0.0784,0.37442,0.1803,0.17793,0.1845,0.09894,0.09815,0.10033,0.38137,0.3872,0.39624,0.1803,0.1778,0.1797,0.18434,0.18706,0.1913,0.17827,0.18475,0.19258,0.38137,0.37026,0.73228,0.38137,0.35802,0.35274,0.18219,0.1665,0.17749
533.6052,0.09396,0.09141,0.23171,0.06057,0.0673,0.07859,0.07056,0.06557,0.07044,0.0891,0.08093,0.0833,0.08698,0.09219,0.11009,0.09396,0.08788,0.08471,0.07056,0.08665,0.20139,0.06108,0.06253,0.07026,0.08751,0.08675,0.16707,0.08921,0.12237,0.2042,0.07026,0.08751,0.38356,0.20546,0.19784,0.2106,0.07056,0.06557,0.07044,0.39382,0.38798,0.39983,0.20546,0.20781,0.20822,0.20937,0.20937,0.21888,0.20349,0.20657,0.21173,0.39382,0.37845,0.73461,0.39382,0.38101,0.38977,0.20729,0.20167,0.20597
539.30211,0.09276,0.09991,0.24122,0.07185,0.07437,0.08108,0.05912,0.05811,0.05114,0.1031,0.10212,0.11245,0.08728,0.10991,0.11485,0.09276,0.08847,0.10294,0.05912,0.07877,0.18715,0.07245,0.08567,0.1033,0.08174,0.08102,0.13552,0.10323,0.11548,0.20525,0.1033,0.08174,0.47837,0.20389,0.19579,0.20538,0.05912,0.05811,0.05114,0.46286,0.46869,0.4839,0.20389,0.20329,0.20345,0.20781,0.21925,0.22609,0.20192,0.20941,0.21645,0.46286,0.45294,0.76774,0.46286,0.44127,0.41954,0.20573,0.21179,0.22322
544.99529,0.10263,0.10492,0.24878,0.07268,0.08351,0.09771,0.09105,0.09737,0.11371,0.08401,0.07627,0.09579,0.09212,0.0979,0.11901,0.10263,0.12002,0.11735,0.09105,0.12643,0.28125,0.07751,0.09054,0.11546,0.0866,0.08584,0.16359,0.08411,0.12561,0.20701,0.11546,0.0866,0.48452,0.24134,0.23315,0.23507,0.09105,0.09737,0.11371,0.4787,0.47579,0.48229,0.24134,0.24803,0.24299,0.24508,0.24944,0.25409,0.23946,0.24355,0.25258,0.4787,0.45856,0.7737,0.4787,0.4536,0.43805,0.24309,0.23297,0.24929
550.68474,0.10353,0.11456,0.25122,0.08772,0.10262,0.10936,0.09066,0.09344,0.08656,0.11752,0.11483,0.12495,0.05799,0.06006,0.0717,0.10263,0.10852,0.10853,0.09066,0.10634,0.24966,0.08846,0.1011,0.12685,0.05226,0.05181,0.08261,0.11767,0.13331,0.25219,0.12685,0.05226,0.49317,0.27276,0.2645,0.26884,0.09066,0.09344,0.08656,0.50263,0.50554,0.50553,0.27276,0.27738,0.27258,0.27635,0.28154,0.28426,0.27096,0.27494,0.28142,0.50263,0.48094,0.78437,0.50263,0.47363,0.46037,0.27444,0.2717,0.28137
556.37047,0.08947,0.08789,0.23415,0.04052,0.04321,0.04532,0.08829,0.08717,0.07634,0.08867,0.08475,0.09996,0.07943,0.08108,0.09819,0.08947,0.07933,0.08206,0.08829,0.11816,0.26389,0.04086,0.05522,0.09381,0.07384,0.07319,0.10158,0.08878,0.14627,0.23888,0.09381,0.07384,0.48846,0.24744,0.24763,0.25966,0.08829,0.08717,0.07634,0.48561,0.48298,0.489,0.24744,0.25979,0.23798,0.25115,0.26155,0.26155,0.24558,0.25296,0.25731,0.48561,0.46675,0.77852,0.48561,0.44656,0.43321,0.24918,0.24333,0.28551
562.05246,0.0766,0.08411,0.25366,0.08772,0.09431,0.10478,0.07962,0.09032,0.10311,0.09376,0.08941,0.10787,0.0749,0.0955,0.12199,0.0766,0.07903,0.07912,0.07962,0.09453,0.22917,0.08846,0.08892,0.10634,0.06928,0.06867,0.14836,0.09388,0.10656,0.21156,0.10634,0.06928,0.49884,0.28192,0.27413,0.28169,0.07962,0.09032,0.10311,0.48862,0.48862,0.49476,0.28192,0.28947,0.28985,0.28546,0.28652,0.29684,0.28014,0.282,0.28863,0.48862,0.46411,0.7761,0.48862,0.45472,0.42745,0.28357,0.27101,0.27365
567.73074,0.08917,0.06389,0.22195,0.06642,0.07312,0.08067,0.10445,0.09933,0.10427,0.10607,0.10212,0.12079,0.09091,0.10781,0.13389,0.08917,0.11147,0.12618,0.10445,0.11422,0.30174,0.06276,0.10881,0.11356,0.08538,0.08464,0.15986,0.1062,0.17099,0.29177,0.11356,0.08538,0.46154,0.25949,0.24953,0.25693,0.10445,0.09933,0.10427,0.4508,0.44496,0.46652,0.25949,0.26957,0.26995,0.26313,0.26421,0.27429,0.25765,0.2631,0.27429,0.4508,0.45589,0.769,0.4508,0.427,0.408,0.26119,0.24998,0.28285
